Fold,HR@10,HR@20,HR@5,NDCG@10,NDCG@20,NDCG@5
1,0.9978,1.0,0.9978,0.8488,0.8639,0.836
2,1.0,1.0,0.9907,0.8369,0.8566,0.8193
3,0.9988,1.0,0.9941,0.8452,0.8659,0.8302
4,1.0,1.0,0.9966,0.8582,0.8768,0.8427
5,1.0,1.0,0.9954,0.8619,0.8828,0.847
AVG,0.9993,1.0,0.9949,0.8502,0.8692,0.835
